"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 09, 2017","0.062190","0.067110","0.067590","0.058330","185.59K","-7.33%"
"Oct 08, 2017","0.067110","0.070280","0.070500","0.066890","48.41K","-4.51%"
"Oct 07, 2017","0.070280","0.070800","0.072000","0.069980","45.57K","-0.73%"
"Oct 06, 2017","0.070800","0.068260","0.071000","0.067850","36.24K","3.72%"
"Oct 05, 2017","0.068260","0.069210","0.069780","0.067600","43.69K","-1.37%"
"Oct 04, 2017","0.069210","0.067670","0.070890","0.067600","45.39K","2.28%"
"Oct 03, 2017","0.067670","0.067500","0.068780","0.067000","42.38K","0.25%"
"Oct 02, 2017","0.067500","0.068980","0.069140","0.067000","42.87K","-2.15%"
"Oct 01, 2017","0.068980","0.069560","0.070060","0.068980","30.98K","-0.83%"
"Sep 30, 2017","0.069560","0.070210","0.070760","0.069420","30.74K","-0.93%"
"Sep 29, 2017","0.070210","0.072270","0.072480","0.069350","79.17K","-2.85%"
"Sep 28, 2017","0.072270","0.073560","0.074000","0.071880","69.10K","-1.75%"
"Sep 27, 2017","0.073560","0.074260","0.074560","0.072320","69.98K","-0.94%"
"Sep 26, 2017","0.074260","0.075310","0.075400","0.073570","60.40K","-1.39%"
"Sep 25, 2017","0.075310","0.077000","0.077300","0.074840","54.34K","-2.19%"
"Sep 24, 2017","0.077000","0.075660","0.078300","0.075630","73.54K","1.77%"
"Sep 23, 2017","0.075660","0.072880","0.075660","0.072000","58.34K","3.81%"
"Sep 22, 2017","0.072880","0.071250","0.072950","0.071100","60.65K","2.29%"
"Sep 21, 2017","0.071250","0.073180","0.073730","0.070500","78.63K","-2.64%"
"Sep 20, 2017","0.073180","0.072550","0.073320","0.071830","40.88K","0.87%"
"Sep 19, 2017","0.072550","0.072600","0.073300","0.071600","74.77K","-0.07%"
"Sep 18, 2017","0.072600","0.070000","0.075700","0.069800","140.31K","3.71%"
"Sep 17, 2017","0.070000","0.068880","0.070330","0.068030","56.27K","1.63%"
"Sep 16, 2017","0.068880","0.069870","0.070400","0.068100","99.17K","-1.42%"
"Sep 15, 2017","0.069870","0.069000","0.071400","0.067000","232.52K","1.26%"
"Sep 14, 2017","0.069000","0.071320","0.071700","0.067200","185.59K","-3.25%"
"Sep 13, 2017","0.071320","0.070700","0.071500","0.067340","123.69K","0.88%"
"Sep 12, 2017","0.070700","0.070670","0.072500","0.070000","88.23K","0.04%"
"Sep 11, 2017","0.070670","0.070420","0.072180","0.069700","73.59K","0.36%"
"Sep 10, 2017","0.070420","0.070220","0.071010","0.068700","73.89K","0.28%"
"Sep 09, 2017","0.070220","0.070770","0.070970","0.069390","51.78K","-0.78%"
"Sep 08, 2017","0.070770","0.072570","0.072680","0.068700","125.84K","-2.48%"
"Sep 07, 2017","0.072570","0.073440","0.073800","0.071250","68.77K","-1.18%"
"Sep 06, 2017","0.073440","0.072300","0.074290","0.071950","98.71K","1.58%"
"Sep 05, 2017","0.072300","0.070380","0.072340","0.067110","202.12K","2.73%"
"Sep 04, 2017","0.070380","0.076340","0.076430","0.066680","368.91K","-7.81%"
"Sep 03, 2017","0.076340","0.076420","0.078470","0.075000","91.20K","-0.10%"
"Sep 02, 2017","0.076420","0.079550","0.079800","0.073200","188.07K","-3.93%"
"Sep 01, 2017","0.079550","0.081950","0.083380","0.079200","122.90K","-2.93%"
"Aug 31, 2017","0.081950","0.083670","0.083850","0.081420","100.97K","-2.06%"
"Aug 30, 2017","0.083670","0.081200","0.084800","0.080300","168.19K","3.04%"
"Aug 29, 2017","0.081200","0.079200","0.084800","0.078950","181.42K","2.53%"
"Aug 28, 2017","0.079200","0.080360","0.081500","0.078300","119.53K","-1.44%"
"Aug 27, 2017","0.080360","0.076630","0.080430","0.075510","95.51K","4.87%"
"Aug 26, 2017","0.076630","0.075520","0.078440","0.075310","94.96K","1.47%"
"Aug 25, 2017","0.075520","0.075400","0.077640","0.074360","91.21K","0.16%"
"Aug 24, 2017","0.075400","0.076590","0.079050","0.074150","130.35K","-1.55%"
"Aug 23, 2017","0.076590","0.076600","0.079350","0.075000","136.56K","-0.01%"
"Aug 22, 2017","0.076600","0.080500","0.086280","0.075360","284.95K","-4.84%"
"Aug 21, 2017","0.080500","0.073530","0.087040","0.072370","484.72K","9.48%"
"Aug 20, 2017","0.073530","0.070590","0.073710","0.070400","99.10K","4.16%"
"Aug 19, 2017","0.070590","0.071320","0.072990","0.070000","178.63K","-1.02%"
"Aug 18, 2017","0.071320","0.070100","0.072910","0.069230","152.73K","1.74%"
"Aug 17, 2017","0.070100","0.068760","0.071150","0.068500","137.92K","1.95%"
"Aug 16, 2017","0.068760","0.068890","0.073400","0.068530","204.95K","-0.19%"
"Aug 15, 2017","0.068890","0.069090","0.072140","0.065350","274.41K","-0.29%"
"Aug 14, 2017","0.069090","0.073240","0.076360","0.068400","233.43K","-5.67%"
"Aug 13, 2017","0.073240","0.079500","0.079680","0.050100","486.47K","-7.87%"
"Aug 12, 2017","0.079500","0.084810","0.088200","0.079380","189.20K","-6.26%"
"Aug 11, 2017","0.084810","0.086900","0.088420","0.083000","154.16K","-2.41%"
"Aug 10, 2017","0.086900","0.088150","0.090600","0.086800","117.49K","-1.42%"
"Aug 09, 2017","0.088150","0.086610","0.093750","0.085580","396.35K","1.78%"
"Aug 08, 2017","0.086610","0.079400","0.087890","0.078450","233.12K","9.08%"
"Aug 07, 2017","0.079400","0.082020","0.082670","0.078600","114.33K","-3.19%"
"Aug 06, 2017","0.082020","0.077940","0.083900","0.077400","203.19K","5.23%"
"Aug 05, 2017","0.077940","0.077200","0.078480","0.070920","233.20K","0.96%"
"Aug 04, 2017","0.077200","0.080500","0.081900","0.076800","116.51K","-4.10%"
"Aug 03, 2017","0.080500","0.080660","0.084040","0.079760","114.72K","-0.20%"
"Aug 02, 2017","0.080660","0.082990","0.084200","0.079350","159.32K","-2.81%"
"Aug 01, 2017","0.082990","0.070360","0.084870","0.070350","432.11K","17.95%"
"Jul 31, 2017","0.070360","0.070910","0.072870","0.066300","205.40K","-0.78%"
"Jul 30, 2017","0.070910","0.076260","0.078000","0.070490","218.00K","-7.02%"
"Jul 29, 2017","0.076260","0.068620","0.078230","0.066200","310.69K","11.13%"
"Jul 28, 2017","0.068620","0.076230","0.076300","0.066120","433.85K","-9.98%"
"Jul 27, 2017","0.076230","0.080400","0.080490","0.075660","132.69K","-5.19%"
"Jul 26, 2017","0.080400","0.079340","0.081600","0.077700","149.62K","1.34%"
"Jul 25, 2017","0.079340","0.081850","0.081900","0.075000","286.75K","-3.07%"
"Jul 24, 2017","0.081850","0.083120","0.083500","0.081470","92.02K","-1.53%"
"Jul 23, 2017","0.083120","0.081770","0.083870","0.080710","173.91K","1.65%"
"Jul 22, 2017","0.081770","0.081320","0.083930","0.079000","202.71K","0.55%"
"Jul 21, 2017","0.081320","0.079100","0.086400","0.078190","432.50K","2.81%"
"Jul 20, 2017","0.079100","0.086380","0.094810","0.073200","673.62K","-8.43%"
"Jul 19, 2017","0.086380","0.098480","0.102700","0.083200","797.70K","-12.29%"
"Jul 18, 2017","0.098480","0.085400","0.111500","0.082500","869.62K","15.32%"
"Jul 17, 2017","0.085400","0.081270","0.086400","0.080620","461.11K","5.08%"
"Jul 16, 2017","0.081270","0.085810","0.086450","0.074000","844.31K","-5.29%"
"Jul 15, 2017","0.085810","0.088980","0.091470","0.085400","261.45K","-3.56%"
"Jul 14, 2017","0.088980","0.087640","0.090000","0.082880","347.83K","1.53%"
"Jul 13, 2017","0.087640","0.094340","0.094460","0.082620","343.71K","-7.10%"
"Jul 12, 2017","0.094340","0.082610","0.094900","0.078550","506.29K","14.20%"
"Jul 11, 2017","0.082610","0.087700","0.091000","0.074290","786.16K","-5.80%"
"Jul 10, 2017","0.087700","0.094970","0.095500","0.083000","385.99K","-7.66%"
"Jul 09, 2017","0.094970","0.096320","0.097980","0.094290","106.51K","-1.40%"
"Jul 08, 2017","0.096320","0.096380","0.098300","0.093150","202.94K","-0.06%"
"Jul 07, 2017","0.096380","0.102400","0.103300","0.095600","197.22K","-5.88%"
"Jul 06, 2017","0.102400","0.101900","0.105600","0.100200","152.09K","0.49%"
"Jul 05, 2017","0.101900","0.103200","0.105400","0.098400","223.69K","-1.26%"
"Jul 04, 2017","0.103200","0.108700","0.110900","0.103000","187.87K","-5.06%"
"Jul 03, 2017","0.108700","0.113200","0.113700","0.107600","173.90K","-3.98%"
"Jul 02, 2017","0.113200","0.108700","0.116900","0.105900","268.24K","4.14%"
"Jul 01, 2017","0.108700","0.114000","0.114200","0.105000","357.40K","-4.65%"
"Jun 30, 2017","0.114000","0.115400","0.120400","0.110500","324.16K","-1.21%"
"Jun 29, 2017","0.115400","0.123900","0.126500","0.113500","437.06K","-6.86%"
"Jun 28, 2017","0.123900","0.111800","0.125000","0.105700","594.34K","10.82%"
"Jun 27, 2017","0.111800","0.105000","0.112100","0.092800","576.59K","6.48%"
"Jun 26, 2017","0.105000","0.111300","0.114500","0.092660","856.95K","-5.66%"
"Jun 25, 2017","0.111300","0.118600","0.120500","0.103600","448.26K","-6.16%"
"Jun 24, 2017","0.118600","0.121600","0.122400","0.118200","127.40K","-2.47%"
"Jun 23, 2017","0.121600","0.120600","0.125100","0.118500","191.42K","0.83%"
"Jun 22, 2017","0.120600","0.123500","0.125300","0.116500","250.99K","-2.35%"
"Jun 21, 2017","0.123500","0.130300","0.133700","0.110500","560.53K","-5.22%"
"Jun 20, 2017","0.130300","0.138100","0.141200","0.113000","483.49K","-5.65%"
"Jun 19, 2017","0.138100","0.140200","0.141600","0.138000","172.95K","-1.50%"
"Jun 18, 2017","0.140200","0.139800","0.144100","0.138100","220.05K","0.29%"
"Jun 17, 2017","0.139800","0.142800","0.143000","0.137000","221.94K","-2.10%"
"Jun 16, 2017","0.142800","0.142500","0.144900","0.136900","243.19K","0.21%"
"Jun 15, 2017","0.142500","0.140100","0.142800","0.129400","592.24K","1.71%"
"Jun 14, 2017","0.140100","0.143600","0.144100","0.135000","378.21K","-2.44%"
"Jun 13, 2017","0.143600","0.150200","0.153000","0.128500","741.65K","-4.39%"
"Jun 12, 2017","0.150200","0.113800","0.151200","0.113400","1.35M","31.99%"
"Jun 11, 2017","0.113800","0.116500","0.122900","0.107400","704.46K","-2.32%"
"Jun 10, 2017","0.116500","0.099100","0.122000","0.098800","823.53K","17.56%"
"Jun 09, 2017","0.099100","0.092600","0.099890","0.092400","266.21K","7.02%"
"Jun 08, 2017","0.092600","0.094810","0.095720","0.092000","190.52K","-2.33%"
"Jun 07, 2017","0.094810","0.091800","0.095170","0.091660","223.99K","3.28%"
"Jun 06, 2017","0.091800","0.091700","0.094480","0.086310","430.10K","0.11%"
"Jun 05, 2017","0.091700","0.097120","0.097890","0.091610","303.73K","4.88%"
"Jun 04, 2017","0.087430","0.087430","0.087430","0.087430","-","0.00%"
"Jun 03, 2017","0.087430","0.089330","0.091680","0.085490","321.52K","-2.13%"
"Jun 02, 2017","0.089330","0.091540","0.095500","0.088940","352.51K","-2.41%"
"Jun 01, 2017","0.091540","0.099690","0.099880","0.088020","682.74K","-8.18%"
"May 31, 2017","0.099690","0.105800","0.108200","0.094200","1.08M","-5.78%"
"May 30, 2017","0.105800","0.085800","0.113000","0.082280","1.47M","23.31%"
"May 29, 2017","0.085800","0.078560","0.086320","0.076620","531.32K","9.22%"
"May 28, 2017","0.078560","0.075800","0.080700","0.074850","461.40K","3.64%"
"May 27, 2017","0.075800","0.072070","0.077900","0.064200","820.96K","5.18%"
"May 26, 2017","0.072070","0.074800","0.077100","0.070650","450.33K","-3.65%"
"May 25, 2017","0.074800","0.076830","0.079750","0.071610","702.41K","-2.64%"
"May 24, 2017","0.076830","0.074450","0.084710","0.073240","800.71K","3.20%"
"May 23, 2017","0.074450","0.074690","0.078000","0.067800","611.23K","-0.32%"
"May 22, 2017","0.074690","0.072300","0.086500","0.066850","1.68M","3.31%"
"May 21, 2017","0.072300","0.059720","0.072390","0.058300","892.86K","21.06%"
"May 20, 2017","0.059720","0.063170","0.065300","0.058250","720.84K","-5.46%"
"May 19, 2017","0.063170","0.050720","0.065870","0.050050","1.35M","24.55%"
"May 18, 2017","0.050720","0.047910","0.052850","0.047800","465.55K","5.87%"
"May 17, 2017","0.047910","0.049480","0.049780","0.046310","475.50K","-3.17%"
"May 16, 2017","0.049480","0.052100","0.053940","0.048080","469.50K","-5.03%"
"May 15, 2017","0.052100","0.049800","0.055000","0.049510","534.35K","4.62%"
"May 14, 2017","0.049800","0.049250","0.050300","0.048310","176.49K","1.12%"
"May 13, 2017","0.049250","0.050200","0.051700","0.048500","209.02K","-1.89%"
"May 12, 2017","0.050200","0.047990","0.051710","0.046880","466.32K","4.61%"
"May 11, 2017","0.047990","0.049200","0.050760","0.046800","450.62K","-2.46%"
"May 10, 2017","0.049200","0.050600","0.052880","0.047800","526.46K","-2.77%"
"May 09, 2017","0.050600","0.052100","0.053690","0.038650","1.43M","-2.88%"
